,Race_ID,Gender,Ticket_Position,Name,Gender_Rank,WS_Year,WS_ID,Athlete_ID
0,22,M,1,jonathan rea,1,2022,87878,472
1,22,M,2,tyler fox,2,2022,87878,220
2,22,F,1,marianne hogan,1,2022,87878,521
3,22,F,2,ellie pell,2,2022,87878,962
4,23,M,1,jeffrey colt,1,2023,97204,602
5,23,M,2,jp giblin,2,2023,97204,305
6,23,F,1,courtney dauwalter,1,2023,97204,302
7,23,F,2,nicole bitter,2,2023,97204,713
8,84317,M,1,trueheart brown,1,2022,87878,541
9,84317,M,2,scott traer,2,2022,87878,154
10,84317,M,3,jeffrey colt,3,2022,87878,602
11,84317,F,1,dominika stelmach,2,2022,87878,814
12,84317,F,2,anne-marie madden,3,2022,87878,554
13,84317,F,3,taylor nowlin,4,2022,87878,347
14,93392,M,1,anthony costales,1,2023,97204,600
15,93392,M,2,janosch kowalczyk,3,2023,97204,101
16,93392,F,1,keely henninger,1,2023,97204,952
17,93392,F,2,meghan morgan,3,2023,97204,768
18,104108,M,1,hayden hawks,1,2024,108752,130
19,104108,M,2,jupiter carera casas,2,2024,108752,149
20,104108,M,3,chris myers,3,2024,108752,544
21,104108,F,1,rachel drake,1,2024,108752,206
22,104108,F,2,becca windell,2,2024,108752,752
23,104108,F,3,lauren puretz,3,2024,108752,502
24,115592,M,1,seth ruhling,1,2025,119682,184
25,115592,M,2,will murray,2,2025,119682,743
26,115592,M,3,joe mcconaughy,3,2025,119682,792
27,115592,F,1,tara dower,2,2025,119682,182
28,115592,F,2,lin chen,4,2025,119682,902
29,115592,F,3,abby hall,5,2025,119682,377
30,141023,M,1,jonathan albon,1,2024,108752,587
31,141023,M,2,dakota jones,3,2024,108752,545
32,141023,F,1,yngvild kaspersen,1,2024,108752,155
33,141023,F,2,emily schmitz,5,2024,108752,401
34,141024,M,1,peter frano,2,2025,119682,153
35,141024,M,2,adam peterman,3,2025,119682,549
36,141024,M,3,huohua zhang,5,2025,119682,645
37,141024,F,1,martyna mlynarczyk,2,2025,119682,717
38,141024,F,2,rosanna buchauer,3,2025,119682,373
39,141024,F,3,hau ha thi,4,2025,119682,331
40,126002,M,1,kilian jornet burgada,2,2025,119682,823
41,126002,M,2,vincent bouillard,3,2025,119682,981
42,126002,F,1,fiona pascall,1,2025,119682,704
43,126002,F,2,johanna antila,2,2025,119682,277
44,25073,M,1,jiaju zhao,1,2023,97204,367
45,25073,M,2,canhua luo,2,2023,97204,758
46,25073,F,1,jenny quilty,1,2023,97204,353
47,25073,F,2,wenfei xie,2,2023,97204,188
48,25373,M,1,ji duo,1,2024,108752,104
49,25373,M,2,robert hajnal,4,2024,108752,254
50,25373,F,1,lin chen,1,2024,108752,902
51,25373,F,2,anna li,2,2024,108752,503
52,37338,M,1,caleb olson,1,2024,108752,975
53,37338,M,2,caleb bowen,2,2024,108752,915
54,37338,F,1,lotti brinks,1,2024,108752,191
55,37338,F,2,devon yanko,2,2024,108752,297
56,81876,M,1,arlen glick,1,2022,87878,901
57,81876,M,2,ryan montgomery,2,2022,87878,636
58,81876,F,1,camille herron,1,2022,87878,450
59,81876,F,2,brittany peterson,2,2022,87878,982
60,90708,M,1,dakota jones,1,2023,97204,545
61,90708,M,2,jonathan rea,2,2023,97204,472
62,90708,F,1,devon yanko,1,2023,97204,297
63,90708,F,2,riley brady,2,2023,97204,769
64,99186,M,1,jonathan rea,1,2024,108752,472
65,99186,M,2,blake slattengren,2,2024,108752,909
66,99186,F,1,heather jackson,1,2024,108752,631
67,99186,F,2,ragna debats,2,2024,108752,271
68,112165,M,1,david roche,1,2025,119682,308
69,112165,M,2,jeff mogavero,2,2025,119682,964
70,112165,F,1,riley brady,1,2025,119682,769
71,112165,F,2,hannah allgood,2,2025,119682,821
72,122877,M,1,will murray,1,2026,112625,743
73,122877,M,2,canyon woodward,3,2026,112625,329
74,122877,F,1,tara dower,1,2026,112625,182
75,122877,F,2,addie bracy,3,2026,112625,425
76,23444,M,1,jim walmsley,1,2024,108752,263
77,23444,M,2,simon gosselin,2,2024,108752,379
78,23444,F,1,eleanor davis,1,2024,108752,877
79,23444,F,2,giulia vinco,3,2024,108752,113
80,89523,M,1,daniel jones,1,2023,97204,842
81,89523,M,2,ryan montgomery,3,2023,97204,636
82,89523,F,1,nancy jiang,1,2023,97204,650
83,89523,F,2,stephanie auston,2,2023,97204,356
84,89525,M,1,hiroki kai,2,2025,119682,673
85,89525,M,2,adrian macdonald,3,2025,119682,512
86,89525,F,1,caitlin fielder,2,2025,119682,558
87,89525,F,2,nancy jiang,5,2025,119682,650
88,37542,M,1,adam peterman,1,2022,87878,549
89,37542,M,2,jared hazen,3,2022,87878,719
90,37542,M,3,rod farvard,4,2022,87878,771
91,37542,F,1,jazmine lowther,1,2022,87878,242
92,37542,F,2,leah yingling,2,2022,87878,233
93,37542,F,3,aroa sio seijo,3,2022,87878,326
94,37543,M,1,cole watson,1,2023,97204,181
95,37543,M,2,adam merry,2,2023,97204,786
96,37543,F,1,ida nilsson,1,2023,97204,679
97,37543,F,2,priscilla forgie,2,2023,97204,846
98,37544,M,1,rod farvard,1,2024,108752,771
99,37544,M,2,petter engdahl,3,2024,108752,369
100,37544,F,1,anna louden,3,2024,108752,623
101,37544,F,2,careth arnold,4,2024,108752,895
102,73545,M,1,hans troyer,2,2025,119682,456
103,73545,M,2,hannes namberger,3,2025,119682,725
104,73545,M,3,ryan montgomery,5,2025,119682,636
105,73545,F,1,marianne hogan,2,2025,119682,521
106,73545,F,2,keely henninger,3,2025,119682,952
107,73545,F,3,erin clark,4,2025,119682,462
108,14221,M,1,ludovic pommeret,4,2022,87878,642
109,14221,F,1,courtney dauwalter,1,2022,87878,302
110,14221,F,2,camille bruyas,2,2022,87878,730
111,14222,M,1,mathieu blanchard,2,2023,97204,303
112,14222,M,2,tom evans,3,2023,97204,597
113,14222,F,1,katie schide,1,2023,97204,486
114,14222,F,2,eszter csillag,5,2023,97204,762
