year,gender,total_participants,finishers,dnfs,finish_rate_pct,dnf_rate_pct
2016,F,72,56,16,77.8,22.2
2016,M,264,209,55,79.2,20.8
2017,F,75,39,36,52,48
2017,M,275,194,81,70.5,29.5
2018,F,69,52,17,75.4,24.6
2018,M,285,233,52,81.8,18.2
2019,F,78,57,21,73.1,26.9
2019,M,273,248,25,90.8,9.2
2021,F,65,42,23,64.6,35.4
2021,M,235,155,80,66,34
2022,F,81,58,23,71.6,28.4
2022,M,281,227,54,80.8,19.2
2023,F,70,57,13,81.4,18.6
2023,M,283,248,35,87.6,12.4
2024,F,84,51,33,60.7,39.3
2024,M,262,209,53,79.8,20.2
2025,F,88,66,22,75,25
2025,M,257,201,56,78.2,21.8
