ws_year,gt_race_name,athlete_name,gender,gt_gender_rank,ws_gender_rank,diff_index,ws_gender_percentile,performance_index
2016,Georgia Death Race,andrew miller,M,1,1,50.5,100,85.2
2016,Sean O'Brien 100K,devon yanko,F,1,3,42.1,96.8,80.4
2016,Gorge Waterfalls 100K,chris mocko,M,2,7,40,97.2,80
2016,Sean O'Brien 100K,jesse haynes,M,2,10,42.1,95.9,79.8
2016,Gorge Waterfalls 100K,amanda basham,F,2,4,40,95.2,78.6
2016,Georgia Death Race,bethany patterson,F,1,7,50.5,90.5,78.5
2016,Black Canyon,amy sproston,F,1,2,31.4,98.4,78.3
2016,Georgia Death Race,maggie guterl,F,2,8,50.5,88.9,77.4
2016,Bandera,christopher denucci,M,2,9,33,96.3,77.3
2016,Sean O'Brien 100K,stephen wassather,M,1,20,42.1,91.2,76.5
2016,Black Canyon,sage canaday,M,1,11,31.4,95.4,76.2
2016,Bandera,jim walmsley,M,1,19,33,91.7,74.1
2016,Gorge Waterfalls 100K,jodee adams-moore,F,1,9,40,87.3,73.1
2016,Black Canyon,charlie ware,M,2,32,31.4,85.7,69.4
2016,Lake Sonoma 50M,yiou wang,F,1,13,30.5,81,65.9
2017,Georgia Death Race,avery collins,M,1,6,50.5,97.5,83.4
2017,Sean O'Brien 100K,sabrina stanley,F,2,3,42.1,95.7,79.6
2017,Black Canyon,alex nichols,M,1,2,31.4,99.5,79.1
2017,Lake Sonoma 50M,magdalena boulet,F,2,2,30.5,97.8,77.6
2017,Gorge Waterfalls 100K,kaytlyn gerbin,F,1,4,40,93.5,77.5
2017,Georgia Death Race,jacqueline merritt,F,2,7,50.5,87,76.1
2017,Sean O'Brien 100K,ryan kaiser,M,2,21,42.1,90.1,75.7
2017,Black Canyon,elov olsson,M,2,13,31.4,94.1,75.3
2017,Lake Sonoma 50M,zachary szablewski,M,4,17,30.5,92.1,73.6
2017,Lake Sonoma 50M,jared burdick,M,5,19,30.5,91.1,72.9
2017,Black Canyon,nicole bitter,F,1,6,31.4,89.1,71.8
2017,Bandera,jeff ball,M,2,39,33,81.2,66.7
2017,Georgia Death Race,alondra moody,F,3,19,50.5,60.9,57.8
2017,Sean O'Brien 100K,emily torrence,F,1,18,42.1,63,56.7
2017,Bandera,joel frost-tift,M,3,108,33,47,42.8
2017,Bandera,stephanie howe violett,F,1,34,33,28.3,29.7
2018,Sean O'Brien 100K,courtney dauwalter,F,1,1,42.1,100,82.6
2018,Sean O'Brien 100K,charlie ware,M,2,8,42.1,97.1,80.6
2018,Bandera,cody reed,M,2,7,33,97.5,78.2
2018,Georgia Death Race,aliza lapierre,F,1,8,50.5,88.3,77
2018,Black Canyon,tim freriks,M,1,13,31.4,95,75.9
2018,Bandera,mario mendoza,M,1,15,33,94.1,75.8
2018,Sean O'Brien 100K,florian neuschwander,M,1,25,42.1,90,75.6
2018,Lake Sonoma 50M,camelia mayfield,F,3,7,30.5,90,72.2
2018,Sean O'Brien 100K,kate elliott,F,2,10,42.1,85,72.1
2018,Georgia Death Race,jasmine chiaramonte,F,2,15,50.5,76.7,68.8
2018,Black Canyon,ailsa macdonald,F,1,13,31.4,80,65.4
2018,Black Canyon,paige pattillo,F,3,14,31.4,78.3,64.2
2018,Lake Sonoma 50M,eric senseman,M,4,57,30.5,76.6,62.8
2018,Georgia Death Race,bob shebest,M,2,113,50.5,53.1,52.3
2018,Bandera,anna hailey,F,3,26,33,58.3,50.7
2019,Lake Sonoma 50M,jared hazen,M,1,2,30.5,99.6,78.9
2019,Bandera,brittany peterson,F,1,2,33,98.5,78.9
2019,Black Canyon,matt daniels,M,1,5,31.4,98.4,78.3
2019,The Canyons,brian condon,M,2,17,41.5,93.7,78
2019,Lake Sonoma 50M,stephen kersh,M,4,7,30.5,97.6,77.5
2019,Black Canyon,kaci lickteig,F,1,3,31.4,96.9,77.3
2019,Bandera,chris mocko,M,2,12,33,95.7,76.9
2019,Bandera,tyler green,M,1,14,33,94.9,76.3
2019,The Canyons,kathryn drew,F,1,8,41.5,89.2,74.9
2019,Georgia Death Race,luzia buehler,F,1,11,50.5,84.6,74.4
2019,Georgia Death Race,liz canty,F,2,13,50.5,81.5,72.2
2019,Lake Sonoma 50M,addie bracy,F,3,9,30.5,87.7,70.5
2019,The Canyons,kim magnus,F,2,18,41.5,73.8,64.1
2019,Bandera,ladia albertson-junkans,F,2,31,33,53.8,47.6
2021,Bandera,drew holmen,M,1,3,33,98.8,79.1
2021,Black Canyon,tyler green,M,1,2,31.4,99.4,79
2021,Bandera,cody lind,M,2,4,33,98.1,78.6
2021,Bandera,alex nichols,M,2,10,33,94.4,76
2021,Black Canyon,eric senseman,M,2,13,31.4,92.5,74.2
2021,Bandera,katie asmuth,F,1,5,33,91.7,74.1
2021,The Canyons,emily hawgood,F,4,7,41.5,87.5,73.7
2021,Bandera,michelle magagna,F,2,11,33,79.2,65.3
2021,The Canyons,abby hall,F,2,14,41.5,72.9,63.5
2021,Black Canyon,sarah keyes,F,3,12,31.4,77.1,63.4
2021,Black Canyon,mireya vargas,F,4,16,31.4,68.8,57.6
2022,UTMB,ludovic pommeret,M,4,6,100,97.9,98.5
2022,UTMB,camille bruyas,F,2,10,100,87,90.9
2022,Javelina,arlen glick,M,1,3,44.1,99.2,82.7
2022,The Canyons,adam peterman,M,1,1,41.5,100,82.5
2022,Festival Des Templiers,vincent viet,M,1,7,43.6,97.5,81.3
2022,Bandera,marianne hogan,F,1,3,33,97.1,77.9
2022,The Canyons,leah yingling,F,2,6,41.5,92.8,77.4
2022,Black Canyon,scott traer,M,2,10,31.4,96.2,76.8
2022,Black Canyon,jeffrey colt,M,3,11,31.4,95.8,76.5
2022,Javelina,camille herron,F,1,8,44.1,89.9,76.2
2022,Bandera,jonathan rea,M,1,16,33,93.6,75.4
2022,Bandera,tyler fox,M,2,19,33,92.4,74.6
2022,Black Canyon,taylor nowlin,F,4,7,31.4,91.3,73.3
2022,The Canyons,aroa sio seijo,F,3,12,41.5,84.1,71.3
2022,The Canyons,rod farvard,M,4,41,41.5,83.1,70.6
2022,Black Canyon,anne-marie madden,F,3,11,31.4,85.5,69.3
2022,Javelina,brittany peterson,F,2,16,44.1,78.3,68
2022,Bandera,ellie pell,F,2,14,33,81.2,66.7
2022,Black Canyon,dominika stelmach,F,2,17,31.4,76.8,63.2
2022,Festival Des Templiers,anne-lise le quere,F,2,37,43.6,47.8,46.5
2023,UTMB,tom evans,M,3,1,100,100,100
2023,UTMB,katie schide,F,1,2,100,98.5,99
2023,UTMB,mathieu blanchard,M,2,6,100,98.1,98.7
2023,UTMB,eszter csillag,F,5,3,100,97.1,98
2023,Doi Inthanon,canhua luo,M,2,19,80.8,93.1,89.4
2023,Doi Inthanon,jenny quilty,F,1,11,80.8,85.3,84
2023,The Canyons,cole watson,M,1,9,41.5,96.9,80.3
2023,Bandera,courtney dauwalter,F,1,1,33,100,79.9
2023,Javelina,jonathan rea,M,2,14,44.1,95,79.7
2023,Tarawera,daniel jones,M,1,5,33.7,98.5,79.1
2023,Black Canyon,anthony costales,M,1,3,31.4,99.2,78.9
2023,Javelina,dakota jones,M,1,17,44.1,93.8,78.9
2023,Tarawera,ryan montgomery,M,3,7,33.7,97.7,78.5
2023,Bandera,jeffrey colt,M,1,8,33,97.3,78
2023,The Canyons,adam merry,M,2,20,41.5,92.7,77.3
2023,Black Canyon,janosch kowalczyk,M,3,10,31.4,96.5,77
2023,The Canyons,ida nilsson,F,1,7,41.5,91.2,76.3
2023,Bandera,jp giblin,M,2,18,33,93.5,75.4
2023,The Canyons,priscilla forgie,F,2,8,41.5,89.7,75.2
2023,Doi Inthanon,wenfei xie,F,2,22,80.8,69.1,72.6
2023,Black Canyon,meghan morgan,F,3,10,31.4,86.8,70.2
2023,Javelina,riley brady,F,2,14,44.1,80.9,69.9
2023,Tarawera,stephanie auston,F,2,13,33.7,82.4,67.8
2023,Tarawera,nancy jiang,F,1,23,33.7,67.6,57.4
2024,Doi Inthanon,ji duo,M,1,12,80.8,95.1,90.8
2024,Doi Inthanon,robert hajnal,M,4,24,80.8,89.7,87
2024,CCC,jonathan albon,M,1,6,59.5,97.8,86.3
2024,Nice Cote d Azur,jim walmsley,M,1,1,50.8,100,85.2
2024,CCC,yngvild kaspersen,F,1,5,59.5,93.5,83.3
2024,CCC,dakota jones,M,3,18,59.5,92.4,82.5
2024,The Canyons,rod farvard,M,1,2,41.5,99.6,82.2
2024,Javelina,jonathan rea,M,1,9,44.1,96.4,80.7
2024,Nice Cote d Azur,simon gosselin,M,2,16,50.8,93.3,80.6
2024,Grindstone,caleb olson,M,1,5,38.4,98.2,80.3
2024,Javelina,blake slattengren,M,2,11,44.1,95.5,80.1
2024,Black Canyon,hayden hawks,M,1,3,31.4,99.1,78.8
2024,The Canyons,petter engdahl,M,3,13,41.5,94.6,78.7
2024,Black Canyon,chris myers,M,3,10,31.4,96,76.6
2024,Javelina,heather jackson,F,1,7,44.1,90.3,76.4
2024,CCC,emily schmitz,F,5,12,59.5,82.3,75.5
2024,Grindstone,caleb bowen,M,2,23,38.4,90.2,74.7
2024,Black Canyon,jupiter carera casas,M,2,17,31.4,92.9,74.5
2024,Black Canyon,rachel drake,F,1,8,31.4,88.7,71.5
2024,The Canyons,anna louden,F,3,11,41.5,83.9,71.2
2024,The Canyons,careth arnold,F,4,14,41.5,79,67.8
2024,Grindstone,lotti brinks,F,1,14,38.4,79,66.8
2024,Black Canyon,lauren puretz,F,3,13,31.4,80.6,65.8
2024,Nice Cote d Azur,giulia vinco,F,3,19,50.8,71,64.9
2024,Black Canyon,becca windell,F,2,16,31.4,75.8,62.5
2024,Javelina,ragna debats,F,2,21,44.1,67.7,60.6
2025,CCC,peter frano,M,2,9,59.5,96.2,85.2
2025,Chianti (UTCC),kilian jornet burgada,M,2,3,50.2,99,84.4
2025,CCC,hau ha thi,F,4,6,59.5,93.3,83.2
2025,Javelina,jeff mogavero,M,2,4,44.1,98.6,82.3
2025,Chianti (UTCC),fiona pascall,F,1,5,50.2,94.7,81.4
2025,The Canyons,marianne hogan,F,2,3,41.5,97.3,80.6
2025,The Canyons,ryan montgomery,M,5,7,41.5,97.1,80.4
2025,The Canyons,hans troyer,M,2,8,41.5,96.7,80.1
2025,Black Canyon,abby hall,F,5,1,31.4,100,79.4
2025,The Canyons,hannes namberger,M,3,11,41.5,95.2,79.1
2025,Black Canyon,seth ruhling,M,1,6,31.4,97.6,77.7
2025,Javelina,hannah allgood,F,2,7,44.1,92,77.6
2025,Tarawera,hiroki kai,M,2,10,33.7,95.7,77.1
2025,Black Canyon,joe mcconaughy,M,3,14,31.4,93.8,75.1
2025,The Canyons,keely henninger,F,3,9,41.5,89.3,75
2025,Chianti (UTCC),johanna antila,F,2,12,50.2,85.3,74.8
2025,Tarawera,caitlin fielder,F,2,8,33.7,90.7,73.6
2025,Tarawera,adrian macdonald,M,3,22,33.7,90,73.1
2025,The Canyons,erin clark,F,4,11,41.5,86.7,73.1
2025,CCC,adam peterman,M,3,49,59.5,77.1,71.8
2025,Tarawera,nancy jiang,F,5,14,33.7,82.7,68
